,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost_Price,Order Year,Order Month,Order Day,Profit_Margin,Price_Per_Item,Product Markup
0,2023-11-09,2023-11-12,Second Class,CG-12520,Consumer,Furniture,Bookcases,261.96,2,0.0,41.9136,220.04639999999998,2023,11,313,0.16000000000000003,130.98,0.1904761904761905
1,2023-11-09,2023-11-12,Second Class,CG-12520,Consumer,Furniture,Chairs,731.94,3,0.0,219.582,512.3580000000001,2023,11,313,0.3,243.98000000000002,0.4285714285714285
2,2023-06-13,2023-06-17,Second Class,DV-13045,Corporate,Office Supplies,Labels,14.62,2,0.0,6.8714,7.748599999999999,2023,6,164,0.47000000000000003,7.31,0.8867924528301888
3,2022-10-11,2022-10-18,Standard Class,SO-20335,Consumer,Furniture,Tables,957.5775,5,0.45,-383.031,1340.6085,2022,10,284,-0.4,191.5155,-0.28571428571428575
4,2022-10-11,2022-10-18,Standard Class,SO-20335,Consumer,Office Supplies,Storage,22.368,2,0.2,2.5164,19.851599999999998,2022,10,284,0.1125,11.184,0.12676056338028174
5,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Furniture,Furnishings,48.86,7,0.0,14.1694,34.6906,2021,6,160,0.29,6.9799999999999995,0.40845070422535196
6,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Office Supplies,Art,7.28,4,0.0,1.9656,5.3144,2021,6,160,0.27,1.82,0.36986301369863017
7,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Technology,Phones,907.152,6,0.2,90.7152,816.4368000000001,2021,6,160,0.09999999999999999,151.192,0.11111111111111108
8,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Office Supplies,Binders,18.504,3,0.2,5.7825,12.721500000000002,2021,6,160,0.31249999999999994,6.168,0.45454545454545436
9,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,0.0,34.47,80.43,2021,6,160,0.3,22.98,0.42857142857142855
10,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Furniture,Tables,1706.184,9,0.2,85.3092,1620.8748,2021,6,160,0.05,189.576,0.05263157894736837
11,2021-06-09,2021-06-14,Standard Class,BH-11710,Consumer,Technology,Phones,911.424,4,0.2,68.3568,843.0672,2021,6,160,0.07500000000000001,227.856,0.08108108108108111
12,2024-04-16,2024-04-21,Standard Class,AA-10480,Consumer,Office Supplies,Paper,15.552,3,0.2,5.4432,10.108799999999999,2024,4,107,0.35000000000000003,5.184,0.5384615384615387
13,2023-12-06,2023-12-11,Standard Class,IM-15070,Consumer,Office Supplies,Binders,407.976,3,0.2,132.5922,275.3838,2023,12,340,0.32499999999999996,135.992,0.48148148148148145
14,2022-11-22,2022-11-26,Standard Class,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,0.8,-123.858,192.668,2022,11,326,-1.8,13.762,-0.6428571428571429
15,2022-11-22,2022-11-26,Standard Class,HP-14815,Home Office,Office Supplies,Binders,2.544,3,0.8,-3.816,6.359999999999999,2022,11,326,-1.5,0.848,-0.6
16,2021-11-11,2021-11-18,Standard Class,PK-19075,Consumer,Office Supplies,Storage,665.88,6,0.0,13.3176,652.5624,2021,11,315,0.02,110.98,0.020408163265306076
17,2021-05-13,2021-05-15,Second Class,AG-10270,Consumer,Office Supplies,Storage,55.5,2,0.0,9.99,45.51,2021,5,133,0.18,27.75,0.21951219512195128
