,Ship Mode,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit,Good_Cost,Order Year,Order Month,Order Day,Profit_Margin
0,2,0,0,4,0.05151040148961151,-0.8043033970404823,0.0,0.05659250781445818,0.03421367079781106,2023,11,313,0.16000000000000003
1,2,0,0,5,0.8056334816212417,-0.35486486474959156,0.0,0.8150540793200997,0.5649059523189676,2023,11,313,0.3
2,2,1,1,10,-0.3453677691554316,-0.8043033970404823,0.0,-0.09300169172251628,-0.35121340032739284,2023,6,164,0.47000000000000003
3,3,0,0,16,1.1676881360601552,0.5440121998321898,0.45,-1.7574844418222597,2.0685963550126636,2022,10,284,-0.4
4,3,0,1,14,-0.33293544091835797,-0.8043033970404823,0.2,-0.11159306837647989,-0.3292403801555948,2022,10,284,0.1125
5,3,0,0,9,-0.29042676259407363,1.4428892644139713,0.0,-0.06184672804384202,-0.30230014663255833,2021,6,160,0.29
6,3,0,1,2,-0.3571454265199283,0.09457366754129916,0.0,-0.11394441860862758,-0.35563269518835217,2021,6,160,0.27
7,3,0,2,13,1.0867761113417045,0.9934507321230805,0.2,0.26492521204317704,1.1169616084551437,2021,6,160,0.09999999999999999
8,3,0,1,3,-0.33913555918217475,-0.35486486474959156,0.2,-0.09765017623193098,-0.3421850906510866,2021,6,160,0.31249999999999994
9,3,0,1,1,-0.18445993802304328,0.5440121998321898,0.0,0.024815981692427495,-0.219260176472603,2021,6,160,0.3
10,3,0,0,16,2.368891250206628,2.3417663289957527,0.2,0.24184714494987572,2.5774203708248753,2021,6,160,0.05
11,3,0,2,13,1.0936309004780982,0.09457366754129916,0.2,0.16947781002710818,1.1653091517405314,2021,6,160,0.07500000000000001
12,3,0,1,12,-0.3438722954955255,-0.35486486474959156,0.2,-0.09909863871153829,-0.3469284526111673,2024,4,107,0.35000000000000003
13,3,0,1,3,0.28580555376949596,-0.35486486474959156,0.2,0.44369698704616994,0.13467882873013007,2023,12,340,0.32499999999999996
14,3,2,1,1,-0.25841528242762823,0.5440121998321898,0.8,-0.6510819477837496,-0.015491867950561615,2022,11,326,-1.8
15,3,2,1,3,-0.3647447433153311,-0.35486486474959156,0.8,-0.13862591189509282,-0.3537344063433029,2022,11,326,-1.5
16,3,0,1,14,0.6996345653407712,0.9934507321230805,0.0,-0.06548303909638993,0.8194473147394286,2021,11,315,0.02
17,2,0,1,14,-0.2797723150599785,-0.8043033970404823,0.0,-0.07968847306969172,-0.2826575047713048,2021,5,133,0.18
18,2,0,1,2,-0.3550915571157654,-0.8043033970404823,0.0,-0.11173821345253841,-0.3542471040956383,2021,8,239,0.29
19,2,0,2,13,-0.026279902193058854,-0.35486486474959156,0.2,-0.053984987688861674,-0.00677564306046808,2021,8,239,0.075
20,2,0,1,3,-0.33237062683221313,0.09457366754129916,0.2,-0.09081341625229315,-0.3374384607874854,2021,8,239,0.325
21,3,1,1,2,-0.33760157547094055,1.4428892644139713,0.0,-0.10073621668730418,-0.3391370444173899,2023,12,344,0.25999999999999995
22,3,1,1,1,-0.2720061213754875,1.4428892644139713,0.0,-0.055362158322287316,-0.2842159316502167,2023,12,344,0.25999999999999995
23,2,0,0,5,-0.25430433444835837,-0.8043033970404823,0.3,-0.1266881562865638,-0.23385390739460427,2024,7,199,-0.014285714285714287
24,3,0,0,16,1.3073713128616338,-0.35486486474959156,0.0,0.9033488173674623,1.0950454134945642,2022,9,268,0.22999999999999998
25,2,0,1,3,-0.3501365971782224,-0.8043033970404823,0.2,-0.10431020073660345,-0.35179980745913625,2023,1,16,0.36250000000000004
26,2,0,2,0,-0.2234995025568587,-0.35486486474959156,0.0,-0.07207219865216326,-0.22222688821867717,2023,1,16,0.13
27,3,0,0,4,4.578800173179875,1.4428892644139713,0.5,-7.230398106016615,8.255597722693404,2022,9,260,-0.54
28,3,0,1,3,-0.353393905686387,-0.8043033970404823,0.7,-0.15244543072499198,-0.3350144025760184,2022,9,260,-0.7333333333333334
29,3,0,0,9,-0.1695372931334221,-0.35486486474959156,0.2,-0.05605970848193315,-0.16798132372928026,2022,9,260,0.125
30,3,0,1,7,-0.3635894417754894,-0.8043033970404823,0.2,-0.11763281112964355,-0.36135515735322926,2022,9,260,0.3375
31,3,0,1,2,-0.23034466418042038,0.9934507321230805,0.2,-0.08088720063902193,-0.22622298957372503,2022,9,260,0.11249999999999999
32,3,0,1,3,-0.35782256158911324,0.9934507321230805,0.7,-0.14673269129024247,-0.3424546926915321,2022,9,260,-0.8333333333333334
33,3,0,1,2,-0.343538541717349,-0.8043033970404823,0.2,-0.10719773395560253,-0.3431064578936866,2022,9,260,0.22499999999999998
34,2,2,1,12,-0.3215364657252538,-0.35486486474959156,0.2,-0.07987289269574253,-0.32983295999398815,2024,10,294,0.33749999999999997
35,0,1,2,13,1.392276348527162,1.4428892644139713,0.2,0.40477035833912817,1.4031455360145193,2023,12,343,0.11249999999999999
36,0,1,0,9,-0.06247935044143022,0.5440121998321898,0.6,-0.7539855377364001,0.24996175052580358,2023,12,343,-0.775
37,3,2,1,7,-0.18698234638503086,2.3417663289957527,0.2,0.028850161012288718,-0.22382979489550772,2022,12,361,0.3125
38,3,2,0,4,0.4854532128695296,-0.35486486474959156,0.32,-0.3228764866220115,0.6865765361961459,2022,12,361,-0.08823529411764706
39,3,2,0,5,-0.028561622734246086,-0.35486486474959156,0.3,-0.1869976429780002,0.047210123099044925,2022,12,361,-0.07142857142857144
40,3,2,2,13,0.2267439717160362,0.09457366754129916,0.2,0.05592142528632887,0.23276640530105214,2022,12,361,0.1125
41,3,1,2,13,-0.13268317401247381,0.09457366754129916,0.2,-0.05165668990997034,-0.12815538352431746,2024,9,255,0.11249999999999999
42,3,1,1,14,-0.2438616921965676,-0.8043033970404823,0.0,-0.10571213141241555,-0.2309592710761779,2023,7,199,0.05
43,3,1,1,14,-0.21540276426513522,-0.8043033970404823,0.2,-0.08151730102802883,-0.20904906727205266,2024,9,264,0.1
44,0,1,2,0,-0.2950479687534402,-0.8043033970404823,0.0,-0.03793194227679169,-0.31769923422218,2023,3,71,0.43000000000000005
45,0,1,1,3,-0.34081074641494513,-0.8043033970404823,0.0,-0.08730346679537261,-0.3484807067834293,2023,3,71,0.47000000000000003
46,2,0,1,14,-0.028718872110502287,0.09457366754129916,0.0,-0.08614145239233958,0.004140243999347939,2021,10,293,0.04
47,3,0,2,0,-0.29662046251600244,-0.35486486474959156,0.0,-0.10120409610895158,-0.2925701454503114,2023,6,172,0.11
48,3,0,2,13,-0.3338468454664552,-0.8043033970404823,0.0,-0.09627770146861311,-0.33678488008337504,2023,6,172,0.27999999999999997
49,3,0,1,3,-0.30749955201617785,0.9934507321230805,0.0,-0.045650245144843636,-0.3285051018634707,2022,4,108,0.47000000000000003
50,3,0,1,10,-0.2481940729709737,0.9934507321230805,0.0,0.02850693559713863,-0.29294159715048074,2022,4,108,0.47
51,3,0,0,9,-0.35894256224857085,-0.8043033970404823,0.0,-0.10971301274423981,-0.359465582917568,2022,4,108,0.48
52,3,0,0,5,-0.22443016213061998,-1.253741929331373,0.0,-0.04934418733053244,-0.23294561176608652,2022,4,108,0.19
53,3,1,1,8,-0.3443408344533502,1.4428892644139713,0.0,-0.09562625621547997,-0.34893530847317716,2023,12,346,0.41
54,3,1,2,13,1.2838159981326402,0.5440121998321898,0.0,1.1527447712022605,0.9623311312198768,2023,12,346,0.29
55,0,0,1,14,-0.034174462715310036,0.9934507321230805,0.0,0.10024873151459446,-0.0813001828466481,2023,6,169,0.25
56,0,0,1,12,-0.3168382394632311,0.5440121998321898,0.0,-0.05594444621565141,-0.334693421830222,2023,6,169,0.48
57,0,0,0,5,0.14369383685614237,0.5440121998321898,0.1,-0.09203434248031465,0.2017220480565939,2023,6,169,0.02222222222222222
58,0,0,1,12,-0.3454640442837517,-0.8043033970404823,0.0,-0.09250051431283193,-0.3515354703743628,2023,6,169,0.48
59,0,0,2,0,-0.3206892445960366,-0.8043033970404823,0.0,-0.10824790127061402,-0.31680709656106937,2023,6,169,0.11
60,0,0,1,3,-0.29103650507343454,0.09457366754129916,0.2,-0.05248657822719894,-0.3069707069642089,2023,6,169,0.33749999999999997
61,0,0,1,2,-0.36613110516314107,-1.253741929331373,0.0,-0.11874957442072895,-0.3637559771396612,2023,6,169,0.5
62,3,0,2,0,-0.3463947038575131,-0.8043033970404823,0.0,-0.09607620595126132,-0.3510677970705327,2022,11,328,0.44
63,3,0,1,3,-0.32738999352711806,0.9934507321230805,0.2,-0.08237280318220891,-0.33539275318362005,2022,11,328,0.3625
64,3,0,1,12,-0.13338598244921082,-0.35486486474959156,0.0,0.17206608825105718,-0.2240950397312592,2022,11,328,0.47000000000000003
65,3,0,0,9,-0.2408450715092033,0.09457366754129916,0.0,-0.026997395282196426,-0.2610218048629059,2022,11,328,0.27999999999999997
66,3,2,0,5,-0.026865575890339655,0.5440121998321898,0.3,-0.1873199504263066,0.0492661790640587,2022,4,120,-0.07142857142857142
67,3,1,1,2,1.417115331633757,1.892327796704862,0.2,0.3528114093911632,1.4533465252466464,2021,12,339,0.10000000000000002
68,3,1,2,13,-0.09930779619482648,0.09457366754129916,0.2,0.1465585487229061,-0.17468960345619045,2021,12,339,0.375
69,0,0,1,12,-0.24707086314057214,-0.8043033970404823,0.0,0.029911427656645874,-0.29226804592485595,2023,6,156,0.4700000000000001
70,3,0,1,3,-0.3614200422173424,-1.253741929331373,0.2,-0.11494591963343122,-0.3600432756399234,2023,9,262,0.37500000000000006
71,2,0,1,12,-0.3382594555144615,-0.35486486474959156,0.0,-0.08492650272627346,-0.34660493016263266,2024,9,259,0.45999999999999996
